Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,benjaminmoore,Benjamin Moore 1023 Cocoa,#e6dccf,0.8989038363332913,0.02067299943060938,74.64749617977617,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201023%20Cocoa%20color%20swatch,https://placehold.co/400x400/e6dccf/ffffff.png?text=Benjamin%20Moore%201023%20Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1024 Tucson,#e0d3c5,0.8735491616942609,0.023852468435222637,69.56821171626109,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201024%20Tucson%20color%20swatch,https://placehold.co/400x400/e0d3c5/ffffff.png?text=Benjamin%20Moore%201024%20Tucson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1025 Chocolate,#d2c1b0,0.8204392210968994,0.030256167044316225,67.38526182071757,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201025%20Chocolate%20color%20swatch,https://placehold.co/400x400/d2c1b0/ffffff.png?text=Benjamin%20Moore%201025%20Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1026 Broken,#b9a28d,0.726752113991807,0.040016127494232875,64.5435271455583,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201026%20Broken%20color%20swatch,https://placehold.co/400x400/b9a28d/ffffff.png?text=Benjamin%20Moore%201026%20Broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1027 Firewood,#9d816e,0.6243524682821014,0.044306385385803504,55.92279506350212,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201027%20Firewood%20color%20swatch,https://placehold.co/400x400/9d816e/ffffff.png?text=Benjamin%20Moore%201027%20Firewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1028 Spanish,#907763,0.5875349199193006,0.04292566963714656,60.48196363659849,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201028%20Spanish%20color%20swatch,https://placehold.co/400x400/907763/ffffff.png?text=Benjamin%20Moore%201028%20Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1029 Coconut,#785f4c,0.5053681996572732,0.043537651972611856,58.80386421484843,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201029%20Coconut%20color%20swatch,https://placehold.co/400x400/785f4c/ffffff.png?text=Benjamin%20Moore%201029%20Coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1030 Brandy,#e3d5c3,0.8795011545221142,0.028799937175726473,74.27737838698681,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201030%20Brandy%20color%20swatch,https://placehold.co/400x400/e3d5c3/ffffff.png?text=Benjamin%20Moore%201030%20Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1031 Carlisle,#ddcfbc,0.8607947490228904,0.030069111104220073,75.65482666298777,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201031%20Carlisle%20color%20swatch,https://placehold.co/400x400/ddcfbc/ffffff.png?text=Benjamin%20Moore%201031%20Carlisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1032 Bar,#d0bda5,0.8079553313822562,0.03924374609554763,73.64663613401899,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201032%20Bar%20color%20swatch,https://placehold.co/400x400/d0bda5/ffffff.png?text=Benjamin%20Moore%201032%20Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1033 Hillsborough,#bda78d,0.740637444534833,0.044255692030346364,71.70710470500745,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201033%20Hillsborough%20color%20swatch,https://placehold.co/400x400/bda78d/ffffff.png?text=Benjamin%20Moore%201033%20Hillsborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1034 Clay,#a68e73,0.6614035660908038,0.04792086062225025,70.14756918911843,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201034%20Clay%20color%20swatch,https://placehold.co/400x400/a68e73/ffffff.png?text=Benjamin%20Moore%201034%20Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1035 Cambridge,#8b745c,0.5743769223093628,0.04538606812307094,67.91979824882344,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201035%20Cambridge%20color%20swatch,https://placehold.co/400x400/8b745c/ffffff.png?text=Benjamin%20Moore%201035%20Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1036 Deer,#836d55,0.5494554323992148,0.044997650209803876,69.11472895712046,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201036%20Deer%20color%20swatch,https://placehold.co/400x400/836d55/ffffff.png?text=Benjamin%20Moore%201036%20Deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1037 Muslin,#e2d7c2,0.8823872113115497,0.030676605346497767,83.62884436967266,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201037%20Muslin%20color%20swatch,https://placehold.co/400x400/e2d7c2/ffffff.png?text=Benjamin%20Moore%201037%20Muslin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1038 Everlasting,#ddcdb4,0.8548433182568203,0.03810591673246332,79.07326493086623,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201038%20Everlasting%20color%20swatch,https://placehold.co/400x400/ddcdb4/ffffff.png?text=Benjamin%20Moore%201038%20Everlasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1039 Stone,#d0bb9d,0.8020585450096446,0.04721035242135646,76.7275910553484,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201039%20Stone%20color%20swatch,https://placehold.co/400x400/d0bb9d/ffffff.png?text=Benjamin%20Moore%201039%20Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
